,citynamelist,country,latitude,longitude,temperature,humidity,cloudiness,windspeed,maxtemp
0,Cidreira,BR,-30.1811,-50.2056,61.52,84,81,13.49,61.52
1,Busselton,AU,-33.65,115.3333,53.2,91,100,12.08,53.2
2,Saskylakh,RU,71.9167,114.0833,25.09,87,73,15.23,25.09
3,La Ronge,CA,55.1001,-105.2842,61.05,29,75,10.36,61.05
4,Pevek,RU,69.7008,170.3133,28.02,94,100,12.8,28.02
5,Namtsy,RU,62.7161,129.6658,36.64,84,100,4.41,36.64
6,Rikitea,PF,-23.1203,-134.9692,77.07,83,23,19.86,77.07
7,Airai,TL,-8.9266,125.4092,68.31,70,87,1.3,68.31
8,Bluff,NZ,-46.6,168.3333,56.8,75,54,14.43,56.8
9,Mataura,NZ,-46.1927,168.8643,56.48,65,35,3.0,56.48
10,George Town,MY,5.4112,100.3354,78.46,93,20,3.44,82.33
11,Lebu,CL,-37.6167,-73.65,53.6,75,96,7.87,53.6
12,Port Elizabeth,ZA,-33.918,25.5701,54.32,91,0,3.0,54.32
13,Anopino,RU,55.6981,40.6671,44.91,94,100,4.27,44.91
14,Shingū,JP,33.7333,135.9833,64.94,95,100,8.01,64.94
15,Pacific Grove,US,36.6177,-121.9166,57.49,66,20,16.11,67.89
16,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,52,5.55,71.19
17,Bisira,PA,8.5196,-81.7115,63.1,93,95,2.91,63.1
18,Avera,US,33.194,-82.5271,80.01,48,0,7.7,80.11
19,Dukat,RU,62.55,155.55,33.15,86,18,3.18,33.15
20,Rawson,AR,-43.3002,-65.1023,52.95,73,100,20.6,52.95
21,Labuhan,ID,-6.8844,112.2051,80.67,84,100,2.8,80.67
22,Torbay,CA,47.6666,-52.7314,44.8,85,12,13.49,46.27
23,Kaeo,NZ,-35.1,173.7833,63.32,64,0,6.24,63.32
24,Nanortalik,GL,60.1432,-45.2371,33.1,98,100,9.71,33.1
25,Upernavik,GL,72.7868,-56.1549,10.4,89,56,5.28,10.4
26,Narsaq,GL,60.9167,-46.05,34.02,99,100,9.95,34.02
27,Nikolskoye,RU,59.7035,30.7861,44.92,97,100,3.09,47.8
28,Bethel,US,41.3712,-73.414,70.99,35,100,6.91,77.85
29,Arona,ES,28.0996,-16.681,60.87,79,40,5.75,64.81
30,Tasiilaq,GL,65.6145,-37.6368,24.96,92,89,2.77,24.96
31,Hermanus,ZA,-34.4187,19.2345,56.73,79,0,6.15,56.73
32,Grand-Santi,GF,4.25,-54.3833,73.44,99,23,2.93,73.44
33,Bredasdorp,ZA,-34.5322,20.0403,52.52,87,0,4.29,52.52
34,Faanui,PF,-16.4833,-151.75,81.39,77,16,15.77,81.39
35,Jamestown,US,42.097,-79.2353,76.64,23,0,10.36,76.64
36,Khandagayty,RU,50.7333,92.05,41.52,27,1,2.86,41.52
37,Cabo San Lucas,MX,22.8909,-109.9124,84.18,53,1,12.01,89.62
38,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,65,40,17.27,41.0
39,Yar-Sale,RU,66.8333,70.8333,29.44,99,65,5.19,29.44
40,Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,3.44,44.71
41,Greiz,DE,50.65,12.2,68.31,57,41,3.0,70.2
42,General Roca,AR,-39.0333,-67.5833,47.62,70,100,7.96,47.62
43,Clyde River,CA,70.4692,-68.5914,21.43,86,100,20.71,21.43
44,Longyearbyen,SJ,78.2186,15.6401,19.24,73,0,8.05,19.24
45,Qaanaaq,GL,77.484,-69.3632,13.23,77,7,5.99,13.23
46,Kapaa,US,22.0752,-159.319,79.74,76,20,13.8,82.38
47,Fairbanks,US,64.8378,-147.7164,48.2,40,75,6.91,50.09
48,Itoman,JP,26.1247,127.6694,75.96,88,75,18.41,79.57
49,Bowen,AU,-20.0167,148.2333,74.53,89,100,6.13,74.53
50,Brae,GB,60.3964,-1.353,45.57,76,98,21.79,45.57
51,Makakilo City,US,21.3469,-158.0858,82.26,51,75,16.11,84.52
52,Ushuaia,AR,-54.8,-68.3,49.66,57,100,16.11,49.66
53,Cape Town,ZA,-33.9258,18.4232,51.21,92,0,2.3,55.11
54,Kruisfontein,ZA,-34.0033,24.7314,51.8,88,0,4.56,51.8
55,New Norfolk,AU,-42.7826,147.0587,52.92,73,100,2.66,52.92
56,Hobart,AU,-42.8794,147.3294,53.26,96,75,10.36,53.26
57,Nālūt,LY,30.3333,10.85,59.77,64,18,11.86,59.77
58,San Quintín,MX,30.4833,-115.95,62.69,57,99,24.36,62.69
59,Kaputa,ZM,-8.4689,29.6619,66.67,81,44,2.06,66.67
60,Port-Cartier,CA,50.0334,-66.8654,49.73,84,95,4.56,49.75
61,Talnakh,RU,69.4865,88.3972,31.21,99,100,5.82,31.21
62,Arraial do Cabo,BR,-22.9661,-42.0278,69.76,94,0,3.44,69.76
63,Mahébourg,MU,-20.4081,57.7,75.49,88,75,3.44,75.49
64,Hasaki,JP,35.7333,140.8333,70.2,81,98,10.58,72.28
65,Atuona,PF,-9.8,-139.0333,78.82,75,13,19.62,78.82
66,Severo-Kuril'sk,RU,50.6789,156.125,42.21,79,46,2.8,42.21
67,Kahului,US,20.8947,-156.47,87.82,40,40,24.16,87.82
68,Mar del Plata,AR,-38.0023,-57.5575,53.24,77,20,11.01,53.87
69,Broken Hill,AU,-31.95,141.4333,56.91,100,100,6.91,56.91
70,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,3.44,75.45
71,Hithadhoo,MV,-0.6,73.0833,83.01,76,91,14.34,83.01
72,Gijang,KR,35.2442,129.2139,69.53,92,100,6.67,69.53
73,Vaini,TO,-21.2,-175.2,77.16,69,40,12.66,77.16
74,Te Anau,NZ,-45.4167,167.7167,51.06,72,73,0.81,51.06
75,Muyezerskiy,RU,63.9333,31.65,40.69,96,93,6.04,40.69
76,Salmon Creek,US,45.7107,-122.649,60.24,40,75,9.22,62.82
77,Safford,US,32.834,-109.7076,90.52,8,0,10.36,90.52
78,Buraidah,SA,26.326,43.975,79.25,16,0,9.28,79.25
79,Ilhabela,BR,-23.7781,-45.3581,70.48,88,49,5.14,70.48
80,Kavieng,PG,-2.5744,150.7967,84.33,72,100,11.79,84.33
81,Burgthann,DE,49.352,11.3115,62.29,83,18,5.01,64.72
82,Vao,NC,-22.6667,167.4833,73.56,60,100,26.57,73.56
83,Kambove,CD,-10.8764,26.5969,59.04,71,36,2.77,59.04
84,Marsala,IT,37.7966,12.4352,57.15,82,0,3.44,57.88
85,Geraldton,AU,-28.7667,114.6,63.01,88,100,8.05,63.01
86,Castro,BR,-24.7911,-50.0119,54.36,89,44,2.13,54.36
87,Paciran,ID,-6.8767,112.3761,80.44,84,100,3.22,80.44
88,Jieshi,CN,22.8134,115.8257,75.94,93,100,11.68,75.94
